city,pred_avg_demand,pred_lower,pred_upper,Sender City,total_sent,avg_tariff,avg_transit,delay_rate,total_revenue,avg_revenue_per_kg,lat,lon,h3_index
Nagpur,47.64502620709012,41.120431318161565,54.29915928834516,Nagpur,1409,441.69888573456353,2.9992902767920513,0.3924769339957417,716757.4,69.08826566344737,21.1458,79.0882,8460961ffffffff
Jaipur,45.4777436685454,37.856732188573204,52.962338449709904,Jaipur,1363,444.70933969185614,2.980190755685987,0.39985326485693323,699930.98,69.1949557584085,26.9124,75.7873,843da21ffffffff
Lucknow,46.40866822421624,41.98988725104115,50.92594553726596,Lucknow,1315,430.02828136882124,2.999239543726236,0.3916349809885932,653157.23,69.12743031978484,26.8467,80.9462,843d8ddffffffff
Coimbatore,43.937240061241695,36.84522277538892,51.09798471216483,Coimbatore,1394,436.69542324246777,2.9777618364418936,0.39096126255380204,700792.32,69.62787067880284,11.0168,76.9558,8460339ffffffff
Meerut,56.38525238448076,47.52412578621952,64.9565809519824,Meerut,1394,441.44921090387373,3.0703012912482066,0.4261119081779053,712051.81,70.16971796695414,28.9845,77.7064,843dacdffffffff
Delhi,48.00692025002616,39.39698204421087,56.5524652369763,Delhi,1420,436.7096549295774,2.999295774647887,0.4007042253521127,715474.86,68.57346078160516,28.7041,77.1025,843da19ffffffff
Ahmedabad,44.54042998975231,35.88882168659542,53.36063872440088,Ahmedabad,1401,439.2713775874375,2.9685938615274803,0.3932905067808708,706758.25,68.53132488208671,23.0225,72.5714,8442cebffffffff
Chennai,50.36900239290069,44.465563338708655,56.180904210250134,Chennai,1370,449.3193795620438,3.062043795620438,0.4211678832116788,706832.89,68.81020673260366,13.0827,80.2707,84618c5ffffffff
Bhubaneswar,43.60263195164152,35.644433680428804,51.66551321665143,Bhubaneswar,1350,442.588037037037,3.054074074074074,0.4066666666666667,687269.78,69.97582896941043,20.2961,85.8245,843c8e5ffffffff
Chandigarh,43.455960783711014,35.127063808652544,51.90125364658486,Chandigarh,1372,453.4374052478134,2.9803206997084546,0.40524781341107874,711383.25,69.34109089792739,30.7333,76.7794,843d147ffffffff
Vizag,42.284213060339816,34.66046762359785,49.934811159331176,Vizag,1404,440.840405982906,3.047720797720798,0.41096866096866097,713890.01,68.28145556016155,17.6868,83.2185,843c931ffffffff
Vijayawada,51.9724896066811,43.631653433766324,60.28403461005559,Vijayawada,1450,442.81877241379306,2.989655172413793,0.39379310344827584,742185.06,69.11015611273076,16.5062,80.648,84619abffffffff
Nashik,45.78527832633804,40.44493040537656,51.09294271478636,Nashik,1330,437.88970676691736,3.007518796992481,0.39849624060150374,671743.18,69.50803861357257,20.0059,73.7942,846099bffffffff
Srinagar,44.52073359530139,36.2442627378144,52.78764027621079,Srinagar,1368,447.7706432748538,2.9744152046783627,0.40497076023391815,705662.93,69.50579374684007,34.0837,74.7973,843d34bffffffff
Hyderabad,43.07100926540727,35.47766285892672,50.800235543182275,Hyderabad,1272,439.1432625786163,3.00314465408805,0.39622641509433965,647134.71,70.36225625077019,17.385,78.4867,8460a25ffffffff
Kolkata,38.86207534906926,31.582438563514966,46.36535909401742,Kolkata,1382,430.08586107091173,2.992764109985528,0.3950795947901592,686412.23,67.92112385918887,22.5726,88.3639,843cf2dffffffff
Surat,44.65022568317741,36.04051932690941,53.243985209771765,Surat,1415,437.54327915194347,2.9830388692579506,0.3992932862190813,713822.98,69.67708264340534,21.1702,72.8311,8442d9dffffffff
Ranchi,49.73551228327491,42.19100001841576,57.2028865781327,Ranchi,1402,430.06781740370894,3.0756062767475036,0.42082738944365194,695754.84,67.14784449481718,23.3441,85.3096,843ca85ffffffff
Ludhiana,41.27233249202674,34.037812010064414,48.55306777827839,Ludhiana,1326,437.85749622926096,2.966817496229261,0.40497737556561086,670513.95,69.73768916029822,30.901,75.8573,8442493ffffffff
